Country,Date,Cumulative_cases,Cases
Kansas,2022-09-08,7,0
Kansas,2022-09-09,7,0
Kansas,2022-09-12,7,0
Kansas,2022-09-13,7,0
Kansas,2022-09-14,7,0
Kansas,2022-09-18,8,1
Kansas,2022-09-19,9,1
Kansas,2022-09-20,9,0
Kansas,2022-09-21,9,0
Kansas,2022-09-23,9,0
Kansas,2022-09-26,9,0
Kansas,2022-09-27,10,1
Kansas,2022-09-28,10,0
Kansas,2022-09-29,14,4
Kansas,2022-10-01,14,0
Kansas,2022-10-03,14,0
Kentucky,2022-06-28,1,1
Kentucky,2022-07-05,2,1
Kentucky,2022-07-07,2,0
Kentucky,2022-07-15,3,1
Kentucky,2022-07-18,3,0
Kentucky,2022-07-19,3,0
Kentucky,2022-07-21,4,1
Kentucky,2022-07-22,4,0
Kentucky,2022-07-25,4,0
Kentucky,2022-07-26,6,2
Kentucky,2022-07-27,6,0
Kentucky,2022-07-28,6,0
Kentucky,2022-07-29,8,2
Kentucky,2022-08-03,8,0
Kentucky,2022-08-10,10,2
Kentucky,2022-08-12,11,1
Kentucky,2022-08-15,15,4
Kentucky,2022-08-16,15,0
Kentucky,2022-08-17,17,2
Kentucky,2022-08-18,18,1
Kentucky,2022-08-22,22,4
Kentucky,2022-08-23,23,1
Kentucky,2022-08-24,24,1
Kentucky,2022-08-25,26,2
Kentucky,2022-08-26,27,1
Kentucky,2022-08-30,30,3
Kentucky,2022-08-31,31,1
Kentucky,2022-09-01,32,1
Kentucky,2022-09-02,33,1
Kentucky,2022-09-06,34,1
Kentucky,2022-09-07,34,0
Kentucky,2022-09-08,34,0
Kentucky,2022-09-09,36,2
Kentucky,2022-09-12,36,0
Kentucky,2022-09-13,36,0
Kentucky,2022-09-14,39,3
Kentucky,2022-09-18,45,6
Kentucky,2022-09-19,47,2
Kentucky,2022-09-20,48,1
Kentucky,2022-09-21,50,2
Kentucky,2022-09-23,51,1
Kentucky,2022-09-26,53,2
Kentucky,2022-09-27,53,0
Kentucky,2022-09-28,53,0
Kentucky,2022-09-29,53,0
Kentucky,2022-10-01,53,0
Kentucky,2022-10-03,56,3
Louisiana,2022-07-15,6,6
Louisiana,2022-07-18,8,2
Louisiana,2022-07-19,13,5
Louisiana,2022-07-21,17,4
Louisiana,2022-07-22,21,4
Louisiana,2022-07-25,25,4
Louisiana,2022-07-26,26,1
